TEST SCRIPT REPORT — BACKEND (NEGATIF),,,,,,,,,,,,,
Nama Kelompok,,:,Kelompok 3,,,,,,,,,,
Kelas,,:,A,,,,,,,,,,
Angkatan,,:,2024,,,,,,,,,,
Nama Sistem,,:,BERBAGIVE,,,,,,,,,,
Tipe Pengujian: Backend,,,,,,,Skenario: Negatif,,,,,,
,,,,,,,,,,,,,
No.,SRS Ref.,FSD Ref.,TSD Ref.,No. Test Script,Nama Fungsional,URL / Endpoint,Parameter / Value,Ekspektasi,Hasil Aktual,Tgl Test,PIC,Screenshot Hasil,Pass / Failed
108,FR-REG-01,FSD-13.1,TSD-REG-02,TS-BE-N108,Detail pendaftaran tidak ditemukan,GET /api/v1/superadmin/community-registrations/{id},id=999999; token superadmin valid,Status 404. Data pendaftaran tidak ditemukan.,,,,,
109,FR-REG-01,FSD-13.1,TSD-REG-04,TS-BE-N109,Reject pendaftaran tanpa alasan,POST /api/v1/superadmin/community-registrations/{id}/reject,id=302; body={alasan_penolakan:''},Status 422. Alasan penolakan wajib diisi.,,,,,
110,FR-REG-01,FSD-13.1,TSD-REG-03,TS-BE-N110,Approve pendaftaran yang sudah direview,POST /api/v1/superadmin/community-registrations/{id}/approve,id=303; status sudah aktif atau ditolak,Status 400 atau 409. Keputusan review tidak dapat diubah.,,,,,
111,FR-REG-02,FSD-13.2,TSD-REG-05,TS-BE-N111,Riwayat pendaftaran filter tanggal tidak valid,GET /api/v1/superadmin/community-registrations/history,filter_tanggal_mulai=2026-02-01; filter_tanggal_selesai=2026-01-01,Status 422. Rentang tanggal tidak valid.,,,,,
112,FR-VERIF-01,FSD-14.1,TSD-VERIF-04,TS-BE-N112,Reject perubahan rekening tanpa alasan,POST /api/v1/superadmin/bank-account-changes/{id}/reject,id=402; body={alasan_penolakan:''},Status 422. Alasan penolakan wajib diisi.,,,,,
113,FR-VERIF-01,FSD-14.1,TSD-VERIF-03,TS-BE-N113,Approve perubahan rekening sudah direview,POST /api/v1/superadmin/bank-account-changes/{id}/approve,id=403; status=disetujui,Status 400 atau 409. Keputusan verifikasi tidak dapat diubah.,,,,,
114,FR-VERIF-01,FSD-14.1,TSD-VERIF-02,TS-BE-N114,Detail perubahan rekening tidak ditemukan,GET /api/v1/superadmin/bank-account-changes/{id},id=999999,Status 404. Detail pengajuan tidak ditemukan.,,,,,
115,FR-VERIF-02,FSD-14.2,TSD-VERIF-05,TS-BE-N115,Riwayat verifikasi rekening tanggal invalid,GET /api/v1/superadmin/bank-account-changes/history,filter_tanggal_mulai=2026-02-01; filter_tanggal_selesai=2026-01-01,Status 422. Rentang tanggal tidak valid.,,,,,
116,FR-CAIR-02,FSD-6.2,TSD-CAIR-04,TS-BE-N116,Reject pencairan tanpa alasan,POST /api/v1/superadmin/disbursements/{id}/reject,id=502; body={alasan_penolakan:''},Status 422. Alasan penolakan wajib diisi.,,,,,
117,FR-CAIR-02,FSD-6.2,TSD-CAIR-03,TS-BE-N117,Approve pencairan sudah direview,POST /api/v1/superadmin/disbursements/{id}/approve,id=503; status=disetujui,Status 400 atau 409. Keputusan review yang sudah dibuat tidak dapat dibatalkan.,,,,,
118,FR-CAIR-02,FSD-6.2,TSD-CAIR-02,TS-BE-N118,Detail pencairan tidak ditemukan,GET /api/v1/superadmin/disbursements/{id},id=999999,Status 404. Pengajuan pencairan tidak ditemukan.,,,,,
119,FR-CAIR-02,FSD-6.2,TSD-CAIR-03,TS-BE-N119,Approve pencairan tanpa token,POST /api/v1/superadmin/disbursements/{id}/approve,Authorization kosong; body valid,Status 401. Sistem meminta login kembali.,,,,,
120,FR-LAPOR-02,FSD-15.2,TSD-LAPOR-01,TS-BE-N120,List laporan campaign tanpa token,GET /api/v1/superadmin/campaign-reports,Authorization kosong,Status 401. Sistem meminta login kembali.,,,,,
121,FR-LAPOR-02,FSD-15.2,TSD-LAPOR-02,TS-BE-N121,Detail laporan campaign tidak ditemukan,GET /api/v1/superadmin/campaign-reports/{id},id=999999,Status 404. Detail laporan tidak ditemukan.,,,,,
122,FR-LAPOR-02,FSD-15.2,TSD-LAPOR-03,TS-BE-N122,Abaikan laporan tanpa catatan internal,POST /api/v1/superadmin/campaign-reports/{id}/ignore,id=601; body={catatan_internal:''},Status 422. Catatan internal wajib diisi.,,,,,
123,FR-LAPOR-02,FSD-15.2,TSD-LAPOR-04,TS-BE-N123,Nonaktifkan campaign tanpa alasan,POST /api/v1/superadmin/campaigns/{id}/disable,id_campaign=701; body={alasan_penonaktifan:''},Status 422. Alasan penonaktifan wajib diisi.,,,,,
124,FR-LAPOR-02,FSD-15.2,TSD-LAPOR-03,TS-BE-N124,Proses ulang laporan yang sudah ditangani,POST /api/v1/superadmin/campaign-reports/{id}/ignore,id=604; status_laporan=sudah_ditangani,Status 400 atau 409. Laporan sudah ditindaklanjuti.,,,,,
125,FR-LAPOR-04,FSD-15.4,TSD-KLARIF-02,TS-BE-N125,Detail klarifikasi tidak ditemukan,GET /api/v1/superadmin/campaign-clarifications/{id},id=999999,Status 404. Data klarifikasi tidak ditemukan.,,,,,
126,FR-LAPOR-04,FSD-15.4,TSD-KLARIF-04,TS-BE-N126,Tutup permanen tanpa alasan,POST /api/v1/superadmin/campaign-clarifications/{id}/close-permanently,id=802; body={alasan_penutupan_permanen:''},Status 422. Alasan penutupan permanen wajib diisi.,,,,,
127,FR-LAPOR-04,FSD-15.4,TSD-KLARIF-03,TS-BE-N127,Aktifkan kembali campaign ditutup permanen,POST /api/v1/superadmin/campaign-clarifications/{id}/reactivate,id=803; status_campaign=ditutup_permanen,Status 400 atau 409. Campaign ditutup permanen tidak dapat diaktifkan kembali.,,,,,
128,FR-LAPOR-04,FSD-15.4,TSD-KLARIF-03,TS-BE-N128,Tindak lanjut klarifikasi bukan superadmin,POST /api/v1/superadmin/campaign-clarifications/{id}/reactivate,Authorization token_komunitas_valid,Status 403. Hanya superadmin yang dapat menindaklanjuti klarifikasi.,,,,,
129,FR-PROF-09,FSD-2.9,TSD-PROF-02,TS-BE-N129,Edit email superadmin dari profil,PATCH /api/v1/superadmin/profile,body={email:'baru@mail.com'},Status 400. Email superadmin tidak dapat diubah dari halaman profil.,,,,,
130,FR-PROF-09,FSD-2.9,TSD-PROF-02,TS-BE-N130,Edit profil nama kosong,PATCH /api/v1/superadmin/profile,body={nama_lengkap:''},Status 422. Nama lengkap wajib diisi.,,,,,
131,FR-PROF-10,FSD-2.10,TSD-PROF-03,TS-BE-N131,Ganti password lama salah,PATCH /api/v1/superadmin/profile/password,password_lama salah; password_baru valid; konfirmasi sama,Status 422 atau 400. Password lama salah.,,,,,
132,FR-PROF-10,FSD-2.10,TSD-PROF-03,TS-BE-N132,Password baru sama dengan lama,PATCH /api/v1/superadmin/profile/password,password_lama valid; password_baru sama dengan lama,Status 400. Password baru tidak boleh sama dengan password lama.,,,,,
133,FR-PROF-10,FSD-2.10,TSD-PROF-03,TS-BE-N133,Konfirmasi password tidak cocok,PATCH /api/v1/superadmin/profile/password,password_baru valid; konfirmasi berbeda,Status 422. Konfirmasi password baru tidak cocok.,,,,,
134,FR-MON-02,FSD-7.2,TSD-MON-02,TS-BE-N134,Monitoring internal diakses Donatur,GET /api/v1/campaigns/{id}/internal,role=donatur; id_campaign aktif,Status 403. Donatur tidak dapat mengakses monitoring internal.,,,,,
135,FR-MON-02,FSD-7.2,TSD-MON-02,TS-BE-N135,Dokumen RAB diakses publik,GET /api/v1/campaigns/{id}/internal,role=guest; request dokumen_RAB atau laporan_penggunaan_dana,Status 401 atau 403. Dokumen RAB dan laporan penggunaan dana tidak dapat diakses publik.,,,,,
136,FR-MON-02,FSD-7.2,TSD-MON-02,TS-BE-N136,Komunitas akses monitoring internal campaign lain,GET /api/v1/campaigns/{id}/internal,role=komunitas; id_campaign bukan miliknya,Status 403. Komunitas hanya dapat mengakses monitoring internal miliknya sendiri.,,,,,
137,FR-MON-04,FSD-7.4,TSD-MON-04,TS-BE-N137,Hapus post tanpa alasan,DELETE /api/v1/campaigns/updates/{updateId},role=superadmin; id_post valid; alasan_hapus kosong,Status 422. Alasan penghapusan wajib diisi.,,,,,
138,FR-MON-04,FSD-7.4,TSD-MON-04,TS-BE-N138,Hapus post oleh non-superadmin,DELETE /api/v1/campaigns/updates/{updateId},role=komunitas; id_post valid; alasan valid,Status 403. Hanya superadmin yang dapat menghapus post update.,,,,,
139,FR-MON-04,FSD-7.4,TSD-MON-04,TS-BE-N139,Hapus post yang sudah dihapus,DELETE /api/v1/campaigns/updates/{updateId},role=superadmin; id_post status=deleted,Status 400 atau 409. Post yang sudah dihapus tidak dapat dipulihkan atau diproses ulang.,,,,,
140,FR-NOTIF-01,FSD-9.1,TSD-NOTIF-01,TS-BE-N140,Guest membuka notifikasi,GET /api/v1/notifications,Authorization kosong,Status 401. Guest tidak memiliki akses section notifikasi.,,,,,
141,FR-NOTIF-01,FSD-9.1,TSD-NOTIF-02,TS-BE-N141,Akses notifikasi milik user lain,PATCH /api/v1/notifications/{notificationId}/read,role=superadmin; id_notifikasi milik akun lain/tidak ditujukan,Status 403 atau 404. Pengguna hanya dapat melihat notifikasi yang ditujukan ke akunnya.,,,,,
142,FR-NOTIF-01,FSD-9.1,TSD-NOTIF-01,TS-BE-N142,Notifikasi kosong,GET /api/v1/notifications,role=superadmin; tidak ada notifikasi,Status 200. Sistem menampilkan pesan Tidak ada notifikasi.,,,,,
143,FR-NOTIF-04,FSD-9.4,TSD-NOTIF-04,TS-BE-N143,Pengingat 7 hari dikirim berulang,GET /api/v1/notifications,campaign belum direview > 7 hari; reminder sudah pernah dikirim,Status 200. Sistem tidak mengirim ulang pengingat untuk campaign yang sama.,,,,,
